,name,title,description,creator,youtube_url,template_url,date_posted
54,Cold Email Automation,"AI System Writes 10,000+ Personalized Cold Emails (Free Template)","This system is a no-code AI automation workflow for personalized cold email outreach. It scrapes prospect data using an Apollo integration, processes the data with HTTP and Google Sheets nodes, and employs an AI agent (via ChatGPT) to generate custom, human-like email icebreakers. The automation then sends the enriched leads into a cold email campaign using Instantly. Created by Nolan Harper, the template is available for free in his AI Automation Vault.",Nolan Harper | Ai Automation,https://www.youtube.com/watch?v=2Utdn12JSK4,https://drive.google.com/file/d/1SzkKEMV6mdMLltG_ZA7W0lT2lng7pszn/view?usp=drive_link,2025-04-28T17:18:16.000Z
55,Lovable Web App Builder,This Lovable + n8n Hack Builds Web Apps FOR You In Minutes (No Coding),"This workflow leverages Lovable’s natural language coding tool integrated within an n8n automation to create custom web applications in minutes. The system uses webhook triggers, HTML scraping for website content cleanup, and API calls like Dolly3 for image generation and OpenAI for text creation. User inputs such as company name, industry, and website URL are processed to dynamically generate tailored social media posts. The free blueprint template, provided by creator Jono Catliff, allows users to import and run the complete workflow immediately.",Jono Catliff,https://www.youtube.com/watch?v=i08K-l8pjfs,https://drive.google.com/file/d/1g1By_B5MBr1R7KDdHvN4NHAaf9Ysmi8g/view?usp=drive_link,2025-04-28T17:05:23.000Z
56,Marketing AI Team,I Built a Marketing Team with 1 AI Agent and No Code (free n8n template),"This system builds an all-in-one AI marketing team using no-code automation. The workflow integrates multiple AI agents that create and edit images, generate LinkedIn posts, blog articles, and video content automatically via a Telegram interface. It leverages OpenAI’s image and editing endpoints, Google Drive and Sheets for logging, external APIs like Runway and CreativeMate for video rendering, and Flux image generation via HTTP requests. Created by Nate Herk, the video provides a free template through a Skool community resource.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=ldETapkr8Hg,https://drive.google.com/file/d/1a9FskKLV_AgxUNPgb_CUOLKke97Ox3Sx/view?usp=drive_link https://drive.google.com/file/d/1WEWSJJZmMCg_Ii4U2I0fO-2xJwil_bVL/view?usp=drive_link https://drive.google.com/file/d/171-HNdf_RkGeVTZQppEANBzjRT8f42Ij/view?usp=drive_link https://drive.google.com/file/d/152aOdjNfmL--KpXTFj1m5Bw-mQkLI8N3/view?usp=drive_link https://drive.google.com/file/d/1yT36iHGZKk0mYLVvLnEgFDE87Tcr3Ore/view?usp=drive_link https://drive.google.com/file/d/1dN1KqlBJZsps_ww5sH2oSvl420AtjYY7/view?usp=drive_link https://drive.google.com/file/d/11OdlUx1lpDR57BFgWKRl0Nq795Au7f4b/view?usp=drive_link ,2025-04-26T19:39:40.000Z
57,Faceless Video AI,This EASY AI Agent System Creates Faceless Videos on Auto Pilot! (Free n8n and Make templates 🍄),"This system automates the creation and publishing of faceless videos via an AI agent workflow. It uses an initial node to brainstorm and write video scripts, then calls a unified API to generate AI videos with voiceovers, images, and animations. The workflow further includes steps for video rendering and publishing on social media. Developed by Sabrina Ramonov, this free template integrates various AI and API services for seamless content automation.",Sabrina Ramonov 🍄,https://www.youtube.com/watch?v=0qf0blCB4Mc,https://drive.google.com/file/d/1OcC7yl7UGsEJbK2Sty0GiNxKAX0jlJX4/view?usp=drive_link  https://drive.google.com/file/d/1q6rJa6kudBtTTxeZKfwRT_F2PcTHGONa/view?usp=drive_link ,2025-04-26T16:34:07.000Z
58,Image Creation and Editing System,This n8n Agent Creates & Edits Images with OpenAI’s New Image API,"This system is a complete workflow built in n8n that integrates with OpenAI’s new Image API for generating and editing images via natural language prompts. It includes three subflows: one to create images using models like gpt-image-1 (with support for Dolly 2 and Dolly 3), one to edit images by referencing existing assets, and one to log details in Google Sheets. The automation features an AI agent that smartly routes commands based on context and converts images to Base64 for Google Drive storage. Created by Mark Kashef, it offers a free downloadable template for immediate use.",Mark Kashef,https://www.youtube.com/watch?v=YqEtFVAV7M8,https://drive.google.com/file/d/1-J4bR_Xx6v_eBNqLV9-dEMNf4b9qz1p2/view?usp=drive_link  https://drive.google.com/file/d/1ZPOll5ZvYVvir_84JZSaSDtWwi6nn0zr/view?usp=drive_link  https://drive.google.com/file/d/1-3_hYyaIYBZPDdLkaTVVTM4-H4Yg75ll/view?usp=drive_link  https://drive.google.com/file/d/1P1fq0hB2v2156GqlX7DEevxXkrvDOaff/view?usp=drive_link ,2025-04-25T18:03:51.000Z
59,Viral Shorts Automation,I Built an AI SYSTEM For Viral Faceless Shorts (n8n),"This system is a fully automated AI pipeline designed to create viral faceless shorts. It uses scheduled triggers to pull data from Google Sheets, generate fresh content ideas through chat-based AI, and produce visuals with PI API (16:9 aspect ratio). Videos are created via runway ML (using gen3/4 models), merged with CreateTomate, and finally published on YouTube through Google Cloud’s API integrations. Developed by Oleg Melnikov, the workflow is available as a free template.",Oleg Melnikov,https://www.youtube.com/watch?v=oMcLgseGER0,https://drive.google.com/file/d/1tKfWJp_sYJkF-evhwWfJ8PZtgKIKBfqV/view?usp=drive_link,2025-04-25T12:48:27.000Z
61,AI Image Automation,Use OpenAI’s NEW Image Generation API with n8n to create stunning images (Step by Step Tutorial),"MagicOps AI demonstrates a workflow that connects OpenAI’s new image generation API with an automation platform to create stunning visuals. The system uses HTTP request nodes to call the API, processes Base64 strings to convert images to files, and integrates Google Drive for storage. It supports both text-to-image and image-to-image transformations for generating recipe images and enhancing product photos. Free template available via Gumroad.",MagicOps AI,https://www.youtube.com/watch?v=SAUxo5fcLMs,https://drive.google.com/file/d/1t4D_qE2hlc-ao6Fi0U2Zo1L3UvLwWgA8/view?usp=drive_link,2025-04-24T13:00:31.000Z
62,Customer Support Automation,Build a No-Code AI Customer Support System That ACTUALLY Works,"This video details a comprehensive no-code automation system for customer support built using n8n. The workflow integrates community posting (using Circle), a ticketing dashboard via Airtable, and an AI agent that leverages a search tool and perplexity API to provide tailored responses. The system automatically creates, updates, and resolves support tickets, ensuring efficient status tracking. Developed by Ben AI, it features HTTP webhooks, API calls, manual mapping, and automated status updates for real-time support.",Ben AI,https://www.youtube.com/watch?v=mJwZPK2A7cM,https://drive.google.com/file/d/1VVhH-po9vp3OWewlxNAuCNWnAZQD1Dmi/view?usp=drive_link,2025-04-24T05:32:46.000Z
63,LinkedIn Visual Automation,"OpenAI's Image API Just Changed the Game (save 10+ hours/week, n8n tutorial)","In this workflow, Nate Herk demonstrates a comprehensive AI automation system for marketing on LinkedIn. The process begins with a form submission gathering email, post topic, and target audience, and then uses two AI agents: one to generate a research-backed post and another to convert it into a dynamic image prompt. The system integrates the OpenAI Image Generation API, Tavi for web search, and HTTP request tools for API calls along with binary conversion. A free template is available via his Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=ACkHpQQnfxQ,https://drive.google.com/file/d/1dbB79dIiKGkotbZcPNVk4pNPoczN_vnj/view?usp=drive_link,2025-04-23T23:56:03.000Z
65,Inbox Automation,Automate Your Inbox With n8n (No Code),"This video by Nolan Harper from the AI Automation Vault details a no-code workflow to automate email management. The system uses a Gmail trigger to monitor incoming mails, a text classifier to route emails into categories like promotions, internal, customer support, and sales, and integrates OpenAI models for drafting AI responses. It also leverages Slack for notifications and uses a free template available via the AI Automation Vault for seamless replication.",Nolan Harper | Ai Automation,https://www.youtube.com/watch?v=UDXDcFwAPQU,https://drive.google.com/file/d/17OYXI08wdcgIWDf-WqJ_v-V9AHRqBMrP/view?usp=drive_link,2025-04-21T17:00:38.000Z
66,Error Logger Workflow,One n8n Workflow for Unlimited Error Handling (Step-by-Step),"In this detailed video tutorial, Nate Herk from AI Automation demonstrates a precise error logging system built within n8n. The workflow uses a global error trigger that funnels errors from various active workflows into a dedicated error logger, which appends data like timestamps, workflow names, workflow URLs, node names, and error messages into a Google Sheet. It also sets up notifications via Slack and other channels. The free Google Sheet template is available by joining Nate Herk’s Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=bTF3tACqPRU,https://drive.google.com/file/d/1_EF3ESE9zRSrFNVgMwhMcTm23JwYzWLW/view?usp=drive_link,2025-04-20T16:52:54.000Z
67,Think Tool Agent,n8n Just Dropped a Game-Changing Tool for AI Agents — Inspired by Anthropic!,"This video by Mahmut Kasimoglu explains a dedicated workflow that leverages the new Think tool – a scratchpad feature inspired by Anthropic – to enhance AI agent reasoning in multi-step processes. The system integrates a personal assistant agent that simulates tools such as email, calendar, CRM, and Slack, and employs tailored prompts and system instructions to improve execution reliability and planning. The workflow is available as a free JSON template in the free Skool community.",Mahmut Kasimoglu | AI Automation,https://www.youtube.com/watch?v=MPyQWs8dOpI,https://drive.google.com/file/d/1SNpBbNphUAmjSJRDEdJ-YO_VTkoMGJ2A/view?usp=drive_link,2025-04-19T17:23:22.000Z
68,Meta Ad Automation,How we Automated a Meta Ad Agency with AI,"Ben AI demonstrates a comprehensive automation workflow for a meta ad agency that streamlines product research, ad angle creation, script generation, and performance tracking. The system integrates Airtable, the Facebook Graph API, Scrapfly web scraping, and AI services such as Perplexity and Google Gemini 2.5 Pro. Using webhooks and multi-phase processing in n8n, it optimizes ad campaigns by analyzing ROI, making it a powerful, fully automated solution. Template provided by Ben AI.",Ben AI,https://www.youtube.com/watch?v=Rm3ObJXsuOI,https://drive.google.com/file/d/1mkQLWY1YS59RNuFR7Q8d-GKwk34FlwQz/view?usp=drive_link,2025-04-19T06:21:26.000Z
69,Automated Hiring Workflow,How I Automated the Entire Hiring Process with n8n,"This system automates the entire hiring process by integrating email triggers from Indeed with Gmail, Google Sheets, and cal.com. It leverages an OpenAI agent to extract job titles from unstructured email subjects and uses custom Google Apps Script to sync candidate data while dynamically routing stages—from initial application and onboarding to screening, testing, and interview scheduling. Created by Jono Catliff, this workflow blueprint is provided as a free template.",Jono Catliff,https://www.youtube.com/watch?v=dBTrOcWkYM0,https://drive.google.com/file/d/1qm916r1TGLBihsGOGJRMx_asQVyiKprd/view?usp=drive_link,2025-04-18T23:40:40.000Z
70,Email & Complaint Automation,Don’t Build Another AI Agent Until You Understand This: AI Agents vs AI Workflows ~ n8n,"In this video, Mahmut Kasimoglu demonstrates two specific n8n systems built for automation: an email labeling system and a complaint ticket processing system. Both systems show a direct comparison between an AI agent approach and an AI workflow approach. The email system uses a Gmail trigger, LLM-based classification, tool calls to get label IDs, label emails, and send notifications, while the complaint system integrates Google Sheets and email notifications. A free template for these workflows is available via his Skool community.",Mahmut Kasimoglu | AI Automation,https://www.youtube.com/watch?v=nQbd56j_dZ0,https://drive.google.com/file/d/1TDMcJcOcdzCXNFv-_T-CBNzLWli14SDD/view?usp=drive_link,2025-04-18T20:21:05.000Z
71,MCP Integration,n8n Just Released MCP - Is It The Future of AI & No Code?,"This video demonstrates a complete MCP integration workflow that leverages a dual-flow setup with an MCP client and MCP server trigger. The system enables communication between AI agents (like Claude and OpenAI) and external tools (Google Sheets, Google Calendar) via SSE endpoints, tool discovery, and auto-generated schemas. The blueprint and free template allow users to import a ready-made automation for AI-driven tasks. Creator: Jono Catliff.",Jono Catliff,https://www.youtube.com/watch?v=Nw0v1-24x5w,https://drive.google.com/file/d/1a32FZaRDmUr8f8ah63rpl2z0cn0atbTn/view?usp=drive_link  https://drive.google.com/file/d/1PtaM-y2dzyD2JzhTecr9hNI0Q1QtwXV_/view?usp=drive_link ,2025-04-18T00:39:56.000Z
72,AI Think Agent System,n8n Just Leveled Up AI Agents (Anthropic's Think Method),"In this video, Nate Herk demonstrates an AI agent workflow that leverages a new Think Tool inspired by Anthropic’s structured reasoning approach. The system integrates multiple agents—including contact, email, calendar, and web search tools—to execute multi-step tasks such as scheduling events, sending notifications, and fetching quotes. It highlights advanced LLM integrations (e.g., GPT 4.1 and Claude 3.5) and tool output analysis for sequential decision-making with in-built validation steps. The free template is available via the Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=WqyLxyALTt0,https://drive.google.com/file/d/1zCMh9PYMXoWbEntB6Oq00IlMgmZQ6B2Z/view?usp=drive_link,2025-04-17T01:24:11.000Z
73,WhatsApp AI Agent,How to add AI Agents to WhatsApp using n8n (Step-by-Step Guide),"This video presents a comprehensive WhatsApp AI agent workflow built entirely using n8n. The system integrates the WhatsApp Business Cloud API with Meta Developer platform setup, leveraging OpenAI for voice transcription, image analysis, and natural language processing. It handles text, image, and audio inputs with custom routing using switch nodes, and includes features like conversation memory and real-time web search. The creator, Leon van Zyl, also offers a free downloadable workflow template via GitHub.",Leon van Zyl,https://www.youtube.com/watch?v=LekI91ISf_8,https://drive.google.com/file/d/1qp0uJFG9h6Ps6mHWqhdIbdweg6gdJKWZ/view?usp=drive_link,2025-04-16T13:57:52.000Z
74,Claude MCP Content Automation,"Automate Anything With Claude MCP Workflows, Here's how:","Ben AI demonstrates a robust automation system that integrates Claude MCP workflows with n8n for content repurposing. The system uses cloud triggers to orchestrate a series of tools: YouTube transcription, fine-tuned LinkedIn post generation, dynamic image creation via external APIs, and Air Table/Webflow updates. The workflow is designed for social media and blog content automation with human-in-loop iterations, offering a detailed, step-by-step solution. Free template available.",Ben AI,https://www.youtube.com/watch?v=_je0FbUcFkg,https://drive.google.com/file/d/1gow-LHalspkMCuQCI7xp580C4LbTThbx/view?usp=drive_link  https://drive.google.com/file/d/1uqYk4jyWDpcSeUbeWO0JnqYEnvqeDQs8/view?usp=drive_link  https://drive.google.com/file/d/1OBNRFIscIzI16NscMGZk259fYCXbOmZ5/view?usp=drive_link ,2025-04-16T07:41:58.000Z
75,Social Media Scraper,Steal This AI Post Scraper (Free n8n Build),"This system automates scraping of posts and video transcripts from multiple social platforms including LinkedIn, Instagram, YouTube, and X. Built entirely in n8n, it integrates HTTP request nodes, AI text classification, and Google Sheets for deduplication and data aggregation. The workflow leverages pre-built Appify scrapers and looping mechanisms for batch processing. Created by Nolan Harper, this free template enables competitor research, content repurposing, and audience insights.",Nolan Harper | Ai Automation,https://www.youtube.com/watch?v=fhxqdoP7ivE,https://drive.google.com/file/d/14m6BvV1jlPb5_Esv_CRCfM9K3bDmCc3M/view?usp=drive_link,2025-04-14T17:00:49.000Z
76,Invoice Tracker,Automate Invoice and Expense Tracking with Gemini | BULLETPROOF!,"This system automates invoice and expense tracking by processing receipts through a detailed workflow that integrates file upload via a form trigger, Google Drive for storage, and Gemini AI for file analysis. The flow splits file packages into individual items, leverages HTTP requests to Gemini endpoints for metadata extraction, and uses conditional logic with a switch component to update Google Sheets and send Slack notifications. Built and demonstrated by MagicOps AI, this video provides a free n8n template to get you started.",MagicOps AI,https://www.youtube.com/watch?v=j9_gps_ZZNU,https://drive.google.com/file/d/1uEbC2YozSiDhGH2v_o8LgpLmJGdq1U_Z/view?usp=drive_link,2025-04-14T13:39:13.000Z
77,Website Extractor,Turn Any Website Into LLM Ready Data in Seconds with n8n & Firecrawl,"This system transforms any website into LLM-ready data using an n8n workflow integrated with Firecrawl. The workflow demonstrates how to initiate HTTP requests, perform intelligent extraction with a custom prompt, and handle asynchronous status checking with polling. It leverages wildcards to crawl multiple pages, incorporates header-based API key authentication, and uses JSON processing to parse quotes and authors from a target website. Created by Nate Herk | AI Automation, the free template is available via his Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=Ee9WtEEd300,https://drive.google.com/file/d/1a5dDs4QXa4e7aCt7QErpadewvHBB7Pm_/view?usp=drive_link,2025-04-13T17:12:58.000Z
78,AI Avatar Social Automation,This n8n AI Agent Avatar will AUTOMATE your Social Media,"This video details a fully automated social media workflow that leverages a custom AI agent to fetch Hacker News articles, generate a video script via ChatGPT, and then create an AI avatar video using HeyGen with optional 11 Labs voice integration and a faceless background video via Blotato. The system, built exclusively in n8n, automates content creation and multi-platform publishing (Instagram, YouTube, Facebook, Threads, LinkedIn, Twitter, TikTok). Created by Sabrina Ramonov, it includes a free template available through her provided link.",Sabrina Ramonov 🍄,https://www.youtube.com/watch?v=8sPYxqU1SoQ,https://drive.google.com/file/d/1b8ItsS54kg-SS1vJNUbeImKM-qFRzhhd/view?usp=drive_link,2025-04-12T17:28:07.000Z
79,LinkedIn AI Agent,I Built an AI Agent For VIRAL LinkedIn Posts (n8n),"This video details an advanced automation system for LinkedIn content creation. It scrapes competitor profiles, extracts multimedia data (text, images, PDFs, and videos), and repurposes viral posts using AI-driven rewriting processes with OpenAI and Perplexity integrations. The workflow also includes a Telegram-based agent that transcribes voice messages into text and uses AI to generate post content. Built by Oleg Melnikov, the system integrates database management with AirTable and offers a free template for immediate setup.",Oleg Melnikov,https://www.youtube.com/watch?v=GmlQZ8MG7HY,https://drive.google.com/file/d/16Pw1GwO7NnhO_Rcs4oXVcBvcC4S-3sYG/view?usp=drive_link,2025-04-12T14:41:09.000Z
80,Automated Sales Agents,How to build an army of Ai Sales Agents (automate 70% of your sales processes),"This workflow automates up to 70% of your sales process by using AI agents to parse incoming Gmail messages, extract lead data via LLM-driven steps, and integrate with Tavi for website and LinkedIn scrapes. It updates and manages lead data in Airtable while leveraging Google Docs as a dynamic knowledge base for drafting personalized email responses with a human-in-loop approval. Created by Rory Ridgers, this system streamlines sales automation in a robust, scalable pipeline.",Rory Ridgers,https://www.youtube.com/watch?v=1MzQkN6C5D0,https://drive.google.com/file/d/1ESCFq9730iouuEIyoqXX-vGrstlhpe23/view?usp=drive_link  https://drive.google.com/file/d/1kcKN0RkPGPcA40HgLABg1myNng9rMTkL/view?usp=drive_link ,2025-04-12T12:00:05.000Z
81,Claude MCP Agent,Build A Claude MCP Agent That Does Everything!,"This video demonstrates a comprehensive Claude MCP agent system that integrates multiple workflows such as email, calendar, CRM, Slack, WhatsApp, and LinkedIn using an n8n-based MCP server. Ben from Ben AI explains how to set up the agent with robust API configurations, SSE endpoints and tool-specific commands to automate daily business tasks. The free template provided allows you to replicate the system for your own deployments.",Ben AI,https://www.youtube.com/watch?v=bATMtzNoap4,https://drive.google.com/file/d/1u-9TkM8UVl7Pu6kgw9caeL9228pGYOhZ/view?usp=drive_link  https://drive.google.com/file/d/1L7hxkZbSOZA9vOULhnkWF-fPs6zfYmp6/view?usp=drive_link ,2025-04-12T08:22:06.000Z
82,9-Platform Social Poster,n8n Agent Posts to 9 Social Platforms Hourly!,"This system is an automated workflow that reads content details from a Google Sheet, extracts media from Google Drive, and uses API calls to a dedicated social media integration service to post across 9 platforms including Instagram, YouTube, Facebook, Threads, LinkedIn, Twitter, TikTok, Blue Sky and Pinterest. It employs schedule triggers, filters, and dynamic JSON requests for each platform. Created by Sabrina Ramonov 🍄, the free template enables plug-and-play automation for social media publishing.",Sabrina Ramonov 🍄,https://www.youtube.com/watch?v=D9okDd_1tBI,https://drive.google.com/file/d/1UogWtgWOqfpD21SqneurX7KCp2y2fQTq/view?usp=drive_link,2025-04-11T23:55:43.000Z
84,Crawl4AI Scraper,Scrape ANY Website for FREE with Crawl4AI + n8n (No Code),"This workflow integrates a locally hosted, Docker-deployed Crawl4AI instance with an automation system to scrape websites for free using multiple strategies – basic extraction, LLM-driven structuring, and CSS selectors for paginated product data. It uses URL extraction, HTTP polling for task status, and proxy integration with Enro CLI for secure external access. Demonstrated by Mahmut Kasimoglu, the free template is available through his Skool community.",Mahmut Kasimoglu | AI Automation,https://www.youtube.com/watch?v=1CDGpbZItiY,https://drive.google.com/file/d/1qVgaZbTZdlcL3Ceg4PBoTZ-ONMzujWa8/view?usp=drive_link,2025-04-09T12:28:33.000Z
85,Omnichannel Sales Agent,This AI Agent Automates Your Sales on ALL Social Media (+MCP),"This system automates social media sales across WhatsApp, Facebook Messenger and Instagram DMs using a no-code workflow. It features a multi-agent AI setup with sub-agents handling CRM (via AirTable) and calendar scheduling. The workflow leverages RAG with Superbase, uses the WhatsApp Business API with outbound template messaging through webhooks, and demonstrates MCP integration for dynamic API tool selection. Created by Ben AI, a free template is provided for immediate implementation.",Ben AI,https://www.youtube.com/watch?v=VnbfsX7iBl4,https://drive.google.com/file/d/15MLlSCnjMWm9Vdlw_WjTynJlPQWAladL/view?usp=drive_link  https://drive.google.com/file/d/1P9jtemW1psUoWGSc6UuAnrn06X-Wa81M/view?usp=drive_link  https://drive.google.com/file/d/1j4IfpgXVACXtqIpu_GwZHSFBTmv8Dfl1/view?usp=drive_link  https://drive.google.com/file/d/1c5dzocUh9IC5bQwqKwJCo6ZZ2mjYRtqZ/view?usp=drive_link ,2025-04-09T06:42:57.000Z
86,Sheets Dashboard Automation,How I Create Custom n8n Dashboards To Automate Anything (Google Sheets),"This system demonstrates a custom automation workflow using Google Sheets as a dynamic dashboard. It leverages form submission triggers, conditional logic, webhooks, and Google Apps Script to update and manage data—automating tasks such as sending emails, calendar invites, and invoices. The workflow integrates with external systems like GoHighLevel and uses switch cases to route actions based on data changes. Created by Jono Catliff, all blueprints are offered as free templates.",Jono Catliff,https://www.youtube.com/watch?v=Mw9AIejD39s,https://drive.google.com/file/d/107ZLDb3F765CYbQyhL-2fnFzy6A0Bo2k/view?usp=drive_link  https://drive.google.com/file/d/1wfnGidoUbiXdIbp1zCMsROrIFO4eO2lH/view?usp=drive_link ,2025-04-09T01:00:03.000Z
87,LinkedIn Content Creator,3 AI Workflows Step-by-Step (Beginner's Guide to n8n),"In this video, Nate Herk demonstrates a complete automated system for generating LinkedIn posts using n8n. The workflow pulls topics from a Google Sheet, performs a web search via the Tavali API, and leverages an AI agent (via Open Router) to craft engaging post content. It integrates additional services such as Gmail for follow-ups, OpenAI embeddings, and Pinecone for vector storage. Free setup instructions and resources are available via a Skool community template.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=06Beyp_iDL0,https://drive.google.com/file/d/1yf2ncloV_YSoO6W5KkZR5jo247V8aeBO/view?usp=drive_link  https://drive.google.com/file/d/1pbHvDIEz6WXkZ4dqOeSN4JlP_ZCAB3H5/view?usp=drive_link  https://drive.google.com/file/d/18Cc9YhwEYPGmd26EkveKp1gkLJSdHLf6/view?usp=drive_link,2025-04-07T13:42:58.000Z
88,Sales Lead Automation,How I Increased Sales By 391% With One Change (Steal It),"This system automates lead follow-up using a no-code workflow on n8n. It captures form submissions via a webhook trigger and integrates with a CRM (GoHighLevel) to initiate fast outbound calls, logs lead data into Google Sheets, and sends real-time Telegram notifications. The demo includes step-by-step API data mapping and multi-module orchestration to maximize conversion rates. Created by Jono Catliff, the free blueprint template is available for immediate import.",Jono Catliff,https://www.youtube.com/watch?v=PWLVWhMh7og,https://drive.google.com/file/d/1SvKBdfK6klqkqDYlrAA4N7UNV1zWHzBg/view?usp=drive_link,2025-04-06T14:04:40.000Z
89,Viral TikTok System,I Built an AI SYSTEM for Viral TikToks (n8n Tutorial),"This system is an n8n workflow built to automate the analysis of top-performing TikTok videos from selected influencers. It uses a schedule trigger, loops over influencer data stored in AirTable, and scrapes recent TikToks via HTTP requests. The workflow sorts videos by views, filters for video posts, and then leverages Gemini (Google's AI service) for video analysis to extract key viral factors. Advanced nodes include code formatting, delay/wait logic, JSON parsing, and API integrations. Created by Oleg Melnikov, the template is available for free.",Oleg Melnikov,https://www.youtube.com/watch?v=OSpw9AY1fJI,https://drive.google.com/file/d/13k2MOqI2BCgWTWPwOWNSAddGxlvRarlK/view?usp=drive_link,2025-04-05T18:44:01.000Z
91,CRM Data Automation,AI AUTOMATES Your CRM Updates!,"MagicOps AI presents a dedicated workflow that automates CRM updates tailored for real estate and similar data-intensive businesses. The system triggers on ClickUp status changes to create corresponding Google Drive folders, processes Gmail attachments with PDF extraction using GPT-4 mini, and updates CRM fields. It integrates key APIs from ClickUp, Gmail, and Google Drive while using custom code nodes for splitting attachments. A free, ready-to-use template is available from MagicOps AI.",MagicOps AI,https://www.youtube.com/watch?v=_oNrsL0GJBw,https://drive.google.com/file/d/1LVW2SP7kXj_hgJYa8fg5XdGOr-osibcd/view?usp=drive_link  https://drive.google.com/file/d/1tKbZgm_YFmXSX3IGYtuAvg38FE9yJl3t/view?usp=drive_link ,2025-04-04T13:17:24.000Z
92,Long Form Video System,How I 100% Automated Long Form Content with n8n (free template),"This system automates the creation of faceless, long-form YouTube videos using an n8n workflow. It integrates workflow nodes that pull data from a Google Sheet, generate intro/outro scripts and a top 10 ranking via AI agents, and compile visuals using the JSON2Video API alongside ElevenLabs for realistic voiceovers. The workflow uses polling for video status and uploads the finished video to YouTube. Free template available via a Skool community by Nate Herk.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=lF2bvXoV-Zg,https://drive.google.com/file/d/1RsonZRI1buGbXwzJcly7VWt427gP339W/view?usp=drive_link,2025-04-03T16:13:28.000Z
94,LinkedIn DM System,Build This Automated AI LinkedIn DM System in 1 Hour (N8N),"This system automates LinkedIn outreach by scraping Apollo leads with an Apify actor, enriching them using AI-powered personalization, and generating custom icebreakers via OpenAI. The workflow logs data in Google Sheets, triggers webhooks, and sends targeted connection requests using PhantomBuster. Developed by Nick Saraev, the solution streamlines manual outreach into a coherent automated process, and the provided template is completely free.",Nick Saraev,https://www.youtube.com/watch?v=gsPGdq2C97c,https://drive.google.com/file/d/1587u1Up2vB5nQ8AeHMvXmqzOZ3lHbynB/view?usp=drive_link,2025-04-02T02:16:06.000Z
95,Gemini Media Analyzer,"Analyze any Video, Image or PDF with Gemini and n8n (Step-by-Step)","In this step-by-step tutorial by MagicOps AI, a specific automation system is built for analyzing videos, images, and PDFs via the Gemini API. The system utilizes HTTP Request nodes, resumable upload techniques, dynamic JSON handling, and API integration to extract structured data (such as video format and topic). The walkthrough covers API authentication, file uploads, and configuring request headers, culminating in a free template for immediate use.",MagicOps AI,https://www.youtube.com/watch?v=OWJKGkPEGSw,https://drive.google.com/file/d/1IpgIE8XTSjCBDWqlwdp93HPGU7Iq_6YE/view?usp=drive_link,2025-04-01T13:17:33.000Z
96,Prompt Engineer Agent,How to Build Your PERSONAL Prompt Engineer Agent with n8n (for any model!),"This system automates prompt engineering via an n8n workflow that dynamically selects and refines prompt generation for various LLMs such as OpenAI, Anthropic, and Gemini. It employs dedicated sub-workflows, context buffering, markdown formatting, and quality proofing nodes to differentiate between reasoning and non‐reasoning models. Triggered via chat input with Whisper Flow transcription, it streamlines prompt optimization. Creator Mark Kashef details technical integration and scalability in this advanced setup.",Mark Kashef,https://www.youtube.com/watch?v=c-NdrhFbUxY,https://drive.google.com/file/d/1NyFafJnrtUi7TOVLscPU_b8RS56M2U2X/view?usp=drive_link  https://drive.google.com/file/d/1VOR6we1twlcOK6KqdBVKymZ1rdPieMjW/view?usp=drive_link  https://drive.google.com/file/d/12Lyb9rlIbrWBk69QE7VGIDtNsRoAu4YJ/view?usp=drive_link  https://drive.google.com/file/d/13oEa3bVH2l3Q0FX6dMGwXOWCB_PiufVk/view?usp=drive_link  https://drive.google.com/file/d/1Xv2Rc0Mr2KsX1PqydpGPcvSLVY2cgxxG/view?usp=drive_link ,2025-03-31T19:57:49.000Z
97,AI PDF Research Report,Research ANYTHING and Get a PDF Report (free n8n template),"This system is an advanced AI research workflow that generates detailed PDF reports from a single search topic. It automates the process by using AI agents to break down a subject into chapters, retrieve and format multiple research sources via Tavi, merge data from Google Sheets, and compile a structured HTML output that is converted into a clickable PDF using an HTML-to-PDF API. Built by Nate Herk, this free template is available in his Skool community for cost-effective, high-quality report generation.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=TeFCb5-4e5U,https://drive.google.com/file/d/1ywEBz6UjLDv68uB2t4colnqmOrykwjMe/view?usp=drive_link,2025-03-30T21:07:44.000Z
